Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,latitude,longitude
2854765,"March 16, 2024",Ohio,Euclid,19500 block of St Clair Ave,0,5,0,0,0,N/A,41.577148,-81.541803
2854542,"March 16, 2024",Indiana,Indianapolis,808 Broad Ripple Ave,1,5,0,0,1,N/A,39.8698036,-86.144495
2855051,"March 16, 2024",Texas,El Paso,2285 Trawood Dr,1,3,0,0,0,N/A,31.7654774,-106.3202388
2855735,"March 16, 2024",California,Manteca,955 E Yosemite Ave,0,4,0,0,0,N/A,37.79801,-121.2040431
2855474,"March 16, 2024",Alabama,Montgomery,3700 block of Woodley Rd,1,3,0,0,0,N/A,32.311393,-86.2557406
2853374,"March 14, 2024",Tennessee,Memphis,1300 block of Quinn Ave,1,3,0,1,2,N/A,35.1087336,-90.0191643
2851205,"March 12, 2024",Florida,Lawtey,21637 NE 17th Ave,3,1,0,0,1,N/A,30.0302565,-82.0737708
2849965,"March 10, 2024",Louisiana,Shreveport,2755 Hollywood Ave,1,3,0,0,0,N/A,32.4557038,-93.7805913
2849245,"March 10, 2024",Arkansas,Jonesboro,641 Burke Ave,2,5,1,0,0,N/A,35.8416369,-90.7121402
2846628,"March 6, 2024",Pennsylvania,Philadelphia,Rising Sun Ave and Cottman Ave,0,8,0,0,4,N/A,40.0614754,-75.0838348
2844773,"March 4, 2024",Pennsylvania,Philadelphia,Ogontz Ave and Godfrey Ave,1,4,0,0,0,N/A,40.048518,-75.1488107
2844405,"March 3, 2024",California,King City,215 N 2nd St,4,7,0,0,3,N/A,36.2148867,-121.1263322
2844148,"March 3, 2024",Mississippi,West Point,10514 US-45 ALT N,1,12,0,0,0,N/A,33.6581652,-88.6660612
2843663,"March 2, 2024",Texas,Houston,5101 Washington Ave,0,4,0,0,1,N/A,29.7702432,-95.4130192
2843303,"March 2, 2024",North Carolina,Pembroke,408 W Railroad St,2,3,0,0,1,N/A,34.6842232,-79.196633
2844305,"March 2, 2024",Louisiana,Natchez,198 LA-119,1,3,0,0,0,N/A,31.6756846,-93.0412265
2841692,"February 29, 2024",Missouri,Independence,1111 N Elsea Smith Rd,2,2,0,1,1,N/A,39.1201623,-94.2628976
2840946,"February 28, 2024",Florida,Orlando,Ironwedge Dr and S Lake Orlando Pkwy,1,6,0,0,2,N/A,28.592186,-81.4244537
2839362,"February 27, 2024",Minnesota,Minneapolis,E Franklin Ave and Elliot Ave,1,3,0,0,0,N/A,44.9627101,-93.262539
2839240,"February 26, 2024",Kentucky,Louisville,5500 block of Overbrook Woods Pl,1,3,0,0,0,N/A,38.1666038,-85.5941103
2838132,"February 25, 2024",Illinois,Chicago,7340 N Rogers Ave,1,3,0,0,1,N/A,42.0151731,-87.6781346
2838389,"February 25, 2024",Illinois,Chicago,8033 S Vincennes Ave,3,1,0,0,1,N/A,41.7479498,-87.6346133
2838881,"February 25, 2024",Alaska,Point Hope,309 Agviq St,2,2,0,0,1,N/A,68.3486009,-166.7290138
2834712,"February 20, 2024",Pennsylvania,Allentown,1800 block of W Turner St,0,4,0,0,1,N/A,40.5988191,-75.4956766
2898968,"February 19, 2024",California,Oakland,3841 West St,0,5,0,0,4,N/A,37.8284811,-122.2717026
2832971,"February 19, 2024",Indiana,Indianapolis,2621 S Lynhurst Dr,1,5,0,0,0,N/A,39.7274559,-86.2498316
2832334,"February 18, 2024",Minnesota,Burnsville,12605 33rd Ave,3,1,1,0,0,N/A,44.7762908,-93.2306789
2832590,"February 18, 2024",Alabama,Montgomery,3500 block of McGehee Rd,1,3,0,0,1,N/A,32.3291208,-86.2426891
2832558,"February 18, 2024",California,Carson,1155 E Dominguez St,0,4,0,0,0,N/A,33.8405958,-118.2535868
2831391,"February 16, 2024",Alabama,Birmingham,828 Center Street N,4,0,0,0,1,N/A,33.5151256,-86.836479
2830649,"February 15, 2024",Arkansas,Springdale,599 E Lakeview Dr,1,4,0,0,3,N/A,36.1434463,-94.1241643
2828898,"February 14, 2024",Georgia,Atlanta,3450 Benjamin E Mays Dr SW,0,4,0,0,1,N/A,33.733733,-84.5039385
2828337,"February 14, 2024",Georgia,Claxton,7903 US-301,2,2,0,0,1,N/A,32.1707435,-81.9012429
2828642,"February 14, 2024",Missouri,Kansas City,30 W Pershing Rd,1,22,0,2,6,N/A,39.0838419,-94.5849511
2828159,"February 13, 2024",Maryland,Baltimore,700 block of E Eager St,0,4,0,0,0,N/A,39.3013588,-76.6072661
2826683,"February 12, 2024",New York,Bronx,Jerome Ave and W Mount Eden Ave,1,5,0,0,3,N/A,40.8443494,-73.914753
2826220,"February 11, 2024",Tennessee,Jackson,23 Heritage Square,0,4,1,0,0,N/A,35.6570525,-88.8563613
2826477,"February 11, 2024",California,Huntington Park,6000 block of Bear Ave,4,1,0,0,3,N/A,33.986345,-118.1957823
2825493,"February 11, 2024",Illinois,Chicago,W 30th St and S St Louis Ave,0,7,0,0,0,N/A,41.8389306,-87.7121862
2824648,"February 9, 2024",Texas,Dallas,220 Stoneport Dr,0,5,0,0,0,N/A,32.7136167,-96.7135772
2824579,"February 9, 2024",District of Columbia,Washington,1200 block of Raum St NE,1,3,0,0,0,N/A,38.9090391,-76.9856801
2822404,"February 7, 2024",Pennsylvania,Lansdowne (East Lansdowne),58 Lewis Ave,4,2,1,0,0,N/A,39.9426671,-75.2595279
2819413,"February 4, 2024",Colorado,Denver,5000 block of N Orleans Ct,2,4,0,0,0,N/A,39.8027209,-104.7369432
2815932,"January 31, 2024",Louisiana,New Orleans,Wall Blvd and Murl St,1,3,0,0,0,N/A,29.9339976,-90.0244494
2815852,"January 31, 2024",Kentucky,Louisville,S 12th St and W Muhammad Ali Blvd,2,2,0,0,0,N/A,38.2526107,-85.7717238
2815425,"January 29, 2024",Mississippi,Grenada,N Lynch St,0,4,0,0,0,N/A,33.7867172,-89.8051779
2813433,"January 28, 2024",Florida,Palm Bay,473 Forgal Ave,3,2,1,0,0,N/A,28.007902,-80.6429616
2813845,"January 28, 2024",California,Compton,S Central Ave and Alondra Blvd,0,4,0,0,0,N/A,33.8885553,-118.2328026
2814635,"January 28, 2024",Tennessee,Memphis,2223 W River Trace Dr,2,2,0,0,1,N/A,35.1860357,-89.8759152
2813443,"January 28, 2024",Pennsylvania,Harrisburg,600 block of Fillmore St,0,4,0,0,0,N/A,40.2625559,-76.8458685
2812487,"January 27, 2024",North Carolina,Charlotte,8508 Lodge S Cir,3,1,0,0,0,N/A,35.1383287,-80.8860085
2815416,"January 27, 2024",Mississippi,Grenada,800 block of Martin Luther King Jr Dr,1,3,0,0,0,N/A,33.7768852,-89.8084192
2812327,"January 25, 2024",Missouri,Kansas City,3100 block of E Linwood Blvd,0,4,0,0,0,N/A,39.068188,-94.547101
2810693,"January 24, 2024",Louisiana,New Orleans,3400 block of Wall Blvd,1,3,0,0,0,N/A,29.9341916,-90.0204336
2809998,"January 23, 2024",California,Adelanto,Shadow Mountain Rd and Lessing Ave,6,0,0,0,5,N/A,34.7246692,-117.6249544
2807511,"January 21, 2024",Texas,Katy,4643 Russet Leaf Tr,3,2,0,1,1,N/A,29.7570484,-95.8245093
2807503,"January 21, 2024",New York,Bronx,4137 White Plains Rd,1,3,0,0,0,N/A,40.891827,-73.8586071
2807473,"January 21, 2024",Illinois,Tinley Park,7430 173rd Pl,4,0,0,0,1,N/A,41.5758982,-87.7998435
2808531,"January 21, 2024",Illinois,Joliet,200 block of Davis St,8,1,1,0,1,N/A,41.5099233,-88.0871252
2807488,"January 20, 2024",Florida,Palm Bay,1700 Woodlake Dr NE,3,2,0,0,1,N/A,28.0379527,-80.6070609
2807528,"January 20, 2024",Florida,Plantation,12301 W Sunrise Blvd,1,3,0,0,0,N/A,26.1468836,-80.3126349
2806941,"January 20, 2024",Pennsylvania,Coraopolis,870 Fourth Ave,1,3,0,0,0,N/A,40.5193457,-80.1667332
2806956,"January 20, 2024",Alabama,Coker,11000 block of Pate Rd,1,3,0,0,3,N/A,33.2214463,-87.7460188
2805327,"January 19, 2024",Maryland,Baltimore,5200 block of Fairlawn Ave,3,1,0,0,0,N/A,39.3419958,-76.6848067
2804280,"January 18, 2024",California,San Francisco,135 Hyde St,1,4,0,0,0,N/A,37.7823062,-122.4158888
